question,reason,topic
"Which subjects have an OPPE?",No information about OPPE (Online Proctored Programming Exam) courses in knowledge base,OPPE
"What are the courses that need OPPE?",No information about OPPE courses in knowledge base,OPPE
"Can a qualifier student attend Paradox?",No information about Paradox festival in knowledge base,Paradox Festival
"When is the Paradox conducted?",No information about Paradox festival in knowledge base,Paradox Festival
"Tell me more about Paradox festival",No information about Paradox festival in knowledge base,Paradox Festival
"What about Gen AI theory and project?",No information about Gen AI courses in knowledge base,Gen AI Courses
"What is SCT and what is expected of me?",No information about SCT (Student Counseling Team?) in knowledge base,SCT
"Placements? I have 7.8 CGPA in degree",No information about placements in knowledge base,Placements
"Placements kaise hoti hai in BS Electronic Systems?",No information about placements in knowledge base,Placements
"What if I don't have money to buy laptop?",No information about laptop provision/scholarship in knowledge base,Laptop/Scholarship
"Will IITM provide laptop for scholarship students?",No information about laptop provision in knowledge base,Laptop/Scholarship
"How to get VPN access from IITM?",No information about VPN access in knowledge base,VPN Access
"What is VPN service? How will it help?",No information about VPN services in knowledge base,VPN Access
"I want students handbook of September 2025",No student handbook content in knowledge base,Student Handbook
"Can I come directly to IITM BS office and submit application?",Office visit process not documented in knowledge base,Office Visit
"Should I come offline to campus to make payment?",No info about in-person payment at campus in knowledge base,Campus Payment
"Can I come to campus to make payment?",No info about in-person payment at campus in knowledge base,Campus Payment
"In the 4 year program can I do projects in Singapore or do I need to come to India?",No information about international project options in knowledge base,International Projects
"Process and documentation for 50% fee waiver for family income <= Rs 5 lakh",Fee waiver process details not in knowledge base,Fee Waiver Process
"Is OBC-NCL + ITR + PAN sufficient for fee waiver?",Fee waiver document requirements not detailed in knowledge base,Fee Waiver Docs
"Is income certificate in father's name accepted?",Document acceptance criteria not in knowledge base,Income Certificate
"What is the procedure to quit the program?",Program withdrawal process not in knowledge base,Program Withdrawal
"Can I enter IIT Madras campus?",Campus visit policy not in knowledge base,Campus Visit
"How to kaise banu topper in BS?",Study tips/success strategies not in scope of knowledge base,Study Tips
"I heard there were physical practical classes. Where is the physical lab?",No information about physical labs in knowledge base,Physical Labs
"What if I took an incomplete but the professor won't let me make up the exam?",Incomplete grade policies not in knowledge base,Incomplete Grade
"Can I pay the fee in cheque?",Payment modes beyond online not detailed in knowledge base,Payment Modes
"Can I make the payment in installments?",EMI/installment payment options not in knowledge base,Installment Payment
"Can I pay the fees by EMI or full?",EMI payment options not in knowledge base,EMI Payment
"External scholarships available for BS students?",External scholarship info not in knowledge base,External Scholarships
"When will I get student ID and email?",Student ID/email timing not in knowledge base,Student ID Timing
"Certificate template/format for degree?",Certificate templates not in knowledge base,Certificates
